Phase,Step,Task,How to do it (command or detail),Done,Owner,Notes
0 Setup,1,Install Node.js (LTS v18+),Download from nodejs.org > run installer > verify with: node --version,FALSE,,
0 Setup,2,Install VS Code,Download from code.visualstudio.com,FALSE,,
0 Setup,3,Install Git,Download from git-scm.com > verify with: git --version,FALSE,,
0 Setup,4,Get repo access,Ask repo owner for the URL and collaborator access (aishwarya105/project-agent),FALSE,,
1 Get the code,5,Clone the repo,git clone <REPO_URL> project-agent,FALSE,,
1 Get the code,6,Enter the folder,cd project-agent,FALSE,,
1 Get the code,7,Switch to the branch,git checkout claude/serene-brown-28bwki,FALSE,,
1 Get the code,8,Pull latest,git pull origin claude/serene-brown-28bwki,FALSE,,
1 Get the code,9,Confirm latest commits,git log --oneline -5,FALSE,,
2 Run locally,10,Install building blocks,npm install (run from inside project-agent),FALSE,,If EACCES error: sudo chown -R $(whoami) ~/.npm
2 Run locally,11,Start dev server,npm run dev,FALSE,,
2 Run locally,12,Open in browser,Visit the Local URL it prints (http://localhost:5173),FALSE,,
2 Run locally,13,Confirm all 4 pages load,Overview / Experiments / Strategy / Conversations,FALSE,,
3 Plan data,14,Fill the Data Tracker sheets,Use the 'Agenda — Data Tracker' Drive folder; columns match field names,FALSE,,
3 Plan data,15,Gather KPI + weekly trend,Headline metric + supporting metrics + 8-10 weeks of values,FALSE,,
3 Plan data,16,Gather anomalies,Week-over-week anomalies with severity and suspected cause,FALSE,,
3 Plan data,17,Gather experiments,Planned/running/completed with lift/confidence/owner,FALSE,,
3 Plan data,18,Gather strategy + hypotheses,Mission, pillars, hypotheses with evidence,FALSE,,
3 Plan data,19,Gather Meet chat + notes,Recent group-chat messages and meeting notes/action items,FALSE,,
4 Put in your data,20,Edit mockData.js with your values,Open src/api/mockData.js; change values, keep field names/structure,FALSE,,Dates like 2026-06-24; true/false lowercase
4 Put in your data,21,Verify preview updates,Browser auto-refreshes; fix any red error (usually a missing comma),FALSE,,
5 Connect backend,22,Replace getOverview() with real fetch,Edit src/api/client.js; return same JSON shape,FALSE,,KPI store + anomaly detector
5 Connect backend,23,Replace getExperiments(),Edit src/api/client.js,FALSE,,Experimentation platform
5 Connect backend,24,Replace getStrategy(),Edit src/api/client.js,FALSE,,Strategy/hypotheses source
5 Connect backend,25,Replace getConversations(),Edit src/api/client.js,FALSE,,Meet chat history + meeting notes
5 Connect backend,26,Replace sendChatMessage(),Edit src/api/client.js,FALSE,,Agent/LLM endpoint (consider streaming)
5 Connect backend,27,Replace postToGroupChat(),Edit src/api/client.js,FALSE,,Google Meet/Chat send API
5 Connect backend,28,Set BASE_URL / env var,Top of client.js or VITE_API_BASE_URL,FALSE,,Never put secrets in front-end code
6 Theme,29,Adjust theme if desired,Edit brand + slate scales in tailwind.config.js,FALSE,,See Theme & Design Spec doc
7 Deploy,30,Build the app,npm run build (creates dist/),FALSE,,
7 Deploy,31,Host dist/,Vercel/Netlify (build: npm run build, output: dist) or internal static host,FALSE,,
7 Deploy,32,Set base path if sub-path,Ask AI: set Vite base to /agenda/,FALSE,,Only if not served from domain root
8 Handoff,33,Give AI the AI Build Prompt doc,Paste doc 03 into your internal AI before asking for changes,FALSE,,
